Company/Brand,Sector,Stage,Amount($),Location,What it does,Amount($),Year of Funding
Coutloot,E-Commerce,Seed,1000000,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,1000000.0,2018
Letstrack,Apps,Seed,1700000,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",1700000.0,2018
Pooltoo,Transportation,Seed,,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,1000000.0,2018
Finzy,Financial Services,Seed,1300000,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,1300000.0,2018
Fitternity,Fitness,Seed,2000000,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2000000.0,2018
Keito,Artificial Intelligence,Seed,,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,1000000.0,2018
Tolet for Students,Hospitality,Seed,730000.0,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",1000000.0,2018
Chai Kings,Food and Beverage,Seed,2920000.0,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,1000000.0,2018
Dainik Jagran,Media and Entertainment,Seed,5840000.0,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,1000000.0,2018
Playtoome,Broadcasting,Seed,2920000.0,"Bengaluru, Karnataka, India",Playtoome is a live entertainment destination,1000000.0,2018
ONGO Framework,B2B,Angel,1000000,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,1000000.0,2018
Notesgen,EdTech,Seed,1825000.0,"New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,1000000.0,2018
Arogya MedTech,Health Care,Seed,2190000.0,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,1000000.0,2018
Propshop24,E-Commerce,Seed,500000,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",500000.0,2018
myUpchar,Health Care,Series A,5000000,"New Delhi, Delhi, India",To bring health issues to people in their language.,5000000.0,2018
MissMalini Entertainment,,Seed,15183999.999999998,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",1000000.0,2018
Rooter,Sports,Seed,6570000.0,"India, Asia",Rooter is a mobile-based platform,1000000.0,2018
ZestMoney,Big Data,Series A,13400000,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,13400000.0,2018
alphaics Corporation,Cloud Computing,Seed,,"Bengaluru, Karnataka, India",Advancing AI compute,1000000.0,2018
MyDentistChoice,Health Care,Seed,500000,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,500000.0,2018
Sattviko,Food Processing,Angel,,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,1000000.0,2018
Sensibull,Trading Platform,Seed,3650000.0,"Bangalore, Karnataka, India",Investment Management Platform,1000000.0,2018
Bombay Shaving Company,Consumer Goods,Series A,,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup,1000000.0,2018
MedCords,Wellness,Seed,3854399.9999999995,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,1000000.0,2018
University Living,Education,Seed,,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.,1000000.0,2018
&ME,Food and Beverage,Seed,,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,1000000.0,2018
Enakshi,Fashion,Seed,1168000.0,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,1000000.0,2018
Ultraviolette Automotive,Automotive,Series A,8760.0,"Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,1000000.0,2018
Inthree Access,Consulting,Series A,4000000,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,4000000.0,2018
BUGWORKS Research India,Biotechnology,Series A,9000000,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,9000000.0,2018
Guardian.in,Health Care,Seed,,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,1000000.0,2018
PrestLoans,Credit,Seed,100000,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",100000.0,2018
Wimoxez,Internet,Seed,20000,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",20000.0,2018
India Accelerator,Communities,Angel,,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,1000000.0,2018
HappyEMI,Consumer,Seed,1000000,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,1000000.0,2018
Wishup,Consumer Applications,Seed,,"Azadpur, Delhi, India",Premium Personal Assistance service,1000000.0,2018
Hansel.io,Mobile,Series A,4000000,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",4000000.0,2018
Propelld,Education,Seed,250000,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,250000.0,2018
PivotRoots,Advertising,Series A,,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,1000000.0,2018
ZiffyHomes,Marketplace,Seed,120000,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,120000.0,2018
Carmesi,Health Care,Seed,4964000.0,"Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,1000000.0,2018
OckyPocky,E-Learning,Angel,,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,1000000.0,2018
Racetrack,Artificial Intelligence,Seed,49932000.0,"Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",1000000.0,2018
WHR,Health Care,Seed,143145,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",143145.0,2018
Asteria Aerospace,Aerospace,Seed,,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,1000000.0,2018
FabAlley,E-Commerce,Series B,87600000.0,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",1000000.0,2018
Tranzmeo,Artificial Intelligence,Pre-Seed,,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,1000000.0,2018
SBI Life,Insurance,Private Equity,742000000,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,742000000.0,2018
Studds Accessories,E-Commerce,Private Equity,146000000.0,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,1000000.0,2018
Design Cafe,Home Decor,Series B,292000000.0,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",1000000.0,2018
NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,3980000,"New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",3980000.0,2018
Rays Power Infra,Energy,Venture - Series Unknown,292000000.0,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,1000000.0,2018
AuthMetrik,B2B,Grant,10000,"Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",10000.0,2018
Khidki,Artificial Intelligence,Seed,,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,1000000.0,2018
LetsTransport,Logistics,Series B,146000000.0,"Bangalore, Karnataka, India",Lets transport is a logistics solution provider.,1000000.0,2018
Next Digital Solutions,Digital Marketing,Angel,14599.999999999998,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,1000000.0,2018
Portea Medical,Health Care,Debt Financing,36500000.0,"Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,1000000.0,2018
Aavas Financiers,Finance,Post-IPO Debt,292000000.0,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",1000000.0,2018
Swiggy,Food Delivery,Series H,1000000000,"Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,1000000000.0,2018
Milkbasket,E-Commerce,Series A,7000000,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",7000000.0,2018
Nutrisattva (Proliva),Fitness,Angel,,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,1000000.0,2018
Toppr,EdTech,Series C,35000000,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,35000000.0,2018
Jagaran Microfin,,Debt Financing,80300000.0,"Kolkata, West Bengal, India",Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,1000000.0,2018
Vivriti Capital,Financial Services,Venture - Series Unknown,28500000,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,28500000.0,2018
Be U Salons,Apps,Seed,4380000.0,"New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.,1000000.0,2018
Impact Guru,Creative Agency,Series A,2000000,"Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2000000.0,2018
MobiKwik,Consumer Lending,Series E,35040000.0,"Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,1000000.0,2018
Stones2Milestones,E-Learning,Seed,,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,1000000.0,2018
Generico,Health Care,Series A,,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,1000000.0,2018
Adiuvo Diagnostics,Health Diagnostics,Seed,,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,1000000.0,2018
DataTrained,EdTech,Seed,17520000.0,"Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",1000000.0,2018
OneAssist,Financial Services,Debt Financing,2400000,"Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,2400000.0,2018
Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,30000000,"New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,30000000.0,2018
APAC Financial Services,Finance,Private Equity,365000000.0,"Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,1000000.0,2018
Moglix,B2B,Series C,23000000,"Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",23000000.0,2018
SEDEMAC Mechatronics,Automotive,Venture - Series Unknown,,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,1000000.0,2018
MadGuy Labs,E-Learning,Venture - Series Unknown,150000,"Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,150000.0,2018
Dee Dee Labs,Embedded Systems,Seed,,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,1000000.0,2018
FLEECA,,Seed,,"Jaipur, Rajasthan, India",FLEECA is a Tyre Care Provider company.,1000000.0,2018
Shop101,Apps,Series B,11000000,"Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,11000000.0,2018
FeedMyPockets,Advertising,Seed,6424000.0,"Bangalore City, Karnataka, India",On Demand Staffing Platform,1000000.0,2018
Housejoy,Beauty,Series B,3240000,"Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,3240000.0,2018
Ambee,Health Care,Angel,,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.,1000000.0,2018
FoodBuddy,Food Delivery,Seed,8760000.0,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",1000000.0,2018
Ninjacart,AgTech,Series B,365000000.0,"Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,1000000.0,2018
Olly Smart Credit Card,Credit Cards,Seed,,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.,1000000.0,2018
Zestl,Software,Seed,,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",1000000.0,2018
BYJU’S,EdTech,Private Equity,540000000,"Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,540000000.0,2018
Wakefit,Manufacturing,Venture - Series Unknown,94900000.0,"Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,1000000.0,2018
Hero Electric,Manufacturing,Venture - Series Unknown,233600000.0,"New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",1000000.0,2018
Pentation Analytics,Information Services,Seed,,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,1000000.0,2018
PerkFinance,Consumer Lending,Seed,900000,"Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,900000.0,2018
Roposo,Internet,Series C,10000000,"Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,10000000.0,2018
Plum Goodness,Beauty,Series A,,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,1000000.0,2018
Drstore,Hospital,Seed,,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,1000000.0,2018
Wow Venue,Events,Venture - Series Unknown,1500000,"Mumbai, Maharashtra, India",Wow Venue is an online platform.,1500000.0,2018
Chizel,3D Printing,Seed,,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,1000000.0,2018
OTO Capital,Automotive,Seed,7300000.0,"Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,1000000.0,2018
Boodmo,Automotive,Seed,10220000.0,"Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,1000000.0,2018
Khabri,Apps,Seed,,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.,1000000.0,2018
MyNewCar.in,Automotive,Venture - Series Unknown,1000000,"Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,1000000.0,2018
HalaPlay Technologies,Digital Entertainment,Series A,5000000,"Bangalore, Karnataka, India",A daily fantasy sports platform.,5000000.0,2018
PlanetSpark,E-Learning,Seed,2336000.0,"Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,1000000.0,2018
WheelsEMI,,Series B,14000000,"Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",14000000.0,2018
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,14964999.999999998,"Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",1000000.0,2018
OYO,Hospitality,Series E,100000000,"Gurgaon, Haryana, India",OYO is an Indian hospitality startup that operates a network of budget hotels.,100000000.0,2018
Quikr,Classifieds,Debt Financing,80300000.0,"Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",1000000.0,2018
Tabono,Sports,Seed,,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.,1000000.0,2018
LearnApp,Banking,Seed,2920000.0,"Noida, Uttar Pradesh, India","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",1000000.0,2018
Shopkirana,E-Commerce,Venture - Series Unknown,2000000,"Indore, Madhya Pradesh, India",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2000000.0,2018
Fric Bergen,,Venture - Series Unknown,,"Alwar, Rajasthan, India",Fric Bergen is a leader in the specialty food industry.,1000000.0,2018
Articbot,Artificial Intelligence,Grant,175200.0,"Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation,1000000.0,2018
BuildSupply,Enterprise Resource Planning (ERP),Series A,36500000.0,"Gurgaon, Haryana, India",India’s most advanced ERP system for the real estate,1000000.0,2018
Fusion Microfinance,Banking,Series E,759200000.0,"New Delhi, Delhi, India",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,1000000.0,2018
Any time Doctor,Software,Angel,,"Chennai, Tamil Nadu, India",Anytime Doctor is a Software company.,1000000.0,2018
Go Payments,Information Services,Corporate Round,,"Mumbai, Maharashtra, India",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,1000000.0,2018
Guiddoo World,Audio,Seed,800000,"Mumbai, Maharashtra, India",We build In-Destination Experiences!,800000.0,2018
ION Energy,Energy,Venture - Series Unknown,1041000,"Mumbai, Maharashtra, India",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,1041000.0,2018
UnoTag,Artificial Intelligence,Pre-Seed,100000,"Bangalore, Karnataka, India",SaaS to verify counterfeit,100000.0,2018
CivilCops,Government,Pre-Seed,100000,"Gurgaon, Haryana, India",Gov-Tech,100000.0,2018
Rockmetric,Information Technology,Grant,,"Mumbai, Maharashtra, India","Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",1000000.0,2018
Classworks India,Education,Undisclosed,14599.999999999998,"Chennai, Tamil Nadu, India","Saas, Web App, Mobile App, School Education",1000000.0,2018
Snapmint,Consumer Lending,Seed,,"Mumbai, Maharashtra, India","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",1000000.0,2018
artbandhu,Digital Media,Pre-Seed,15000,"Bangalore, Karnataka, India",Ai platform for Art and Creative Community,15000.0,2018
Survaider,Business Intelligence,Seed,500000,"Bengaluru, Karnataka, India",Stethoscope for customer feedback !,500000.0,2018
Credy,Credit,Seed,1400000,"Bengaluru, Karnataka, India",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,1400000.0,2018
iChamp,E-Learning,Seed,5000000,"Gurgaon, Haryana, India",iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,5000000.0,2018
Qandle,Software,Seed,1200000,"Gurgaon, Haryana, India",A cloud-based HR management and employee engagement platform.,1200000.0,2018
Avishkaar Box,Children,Seed,7300000.0,"Delhi, Delhi, India","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",1000000.0,2018
Gegadyne Energy,Automotive,Angel,,"Mumbai, Maharashtra, India",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,1000000.0,2018
HyperXchange,E-Commerce,Series A,1000000,"Pune, Maharashtra, India",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,1000000.0,2018
Deftouch,,Seed,,"Bangalore, Karnataka, India",Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,1000000.0,2018
Doodhwala,Food Delivery,Seed,2200000,"Bengaluru, Karnataka, India",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2200000.0,2018
DronaHQ,Mobile,Angel,500000,"Mumbai, Maharashtra, India",DronaHQ is an enterprise mobile engagement platform.,500000.0,2018
FastFox,Rental,Series A,14600000.0,"Gurgaon, Haryana, India",FastFox: Market Network for Home Rentals (India),1000000.0,2018
Colive.in,Consumer,Seed,1800000,"Bangalore, Karnataka, India",A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,1800000.0,2018
Agricxlab Private Limited,B2B,Seed,500000,"Thane, Maharashtra, India",Online marketplace where farmers and traders can sell their produce to B2B buyers,500000.0,2018
Corefactors,,Seed,,"Bangalore, Karnataka, India","Corefactors is a leading campaign management, business communication and analytics company.",1000000.0,2018
Fincash.com,Wealth Management,Seed,150000,"Mumbai, Maharashtra, India",A startup in the personal finance space in India .,150000.0,2018
Pandorum Technologies,Biotechnology,Series A,3600000,"Bengaluru, Karnataka, India",Bengaluru based biotech startup.,3600000.0,2018
Shirsa Labs,Education,Seed,500000,"Mumbai, Maharashtra, India",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,500000.0,2018
PetSutra,Veterinary,Seed,1387000.0,"Gurgaon, Haryana, India",Gurugram-based Online petcare platform.,1000000.0,2018
Awaaz De,Internet,Angel,,"Ahmedabad, Gujarat, India",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,1000000.0,2018
PinkBlue,Health Care,Seed,300000,"Bangalore, Karnataka, India",PinkBlue.in - Super-efficient supply-chain for clinical supplies,300000.0,2018
